year,count,avg_mag
2000,3,3.533333333333333
2001,9,3.1666666666666665
2002,21,3.0904761904761906
2003,5,2.7600000000000002
2004,6,3.283333333333333
2005,10,2.7199999999999998
2006,10,2.67
2007,16,2.1062499999999997
2008,9,3.0999999999999996
2009,3,3.4
2010,1,3.5
2011,4,3.425
2013,6,2.983333333333333
2014,3,3.4
2015,5,3.2399999999999998
2017,2,3.2
2018,7,3.057142857142857
